year,tri_facility_id,facility_name,street_address,city,county,state,zip,latitude,longitude,industry_sector,naics_code,chemical,cas_number,carcinogen,unit_of_measure,fugitive_air_releases,stack_air_releases,water_releases,landfill_releases,onsite_release_total,offsite_release_total,total_releases,parent_company
2002,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.23,1.11,0,0,1.34,99.9,101.24,NEXUS NANO ELECTRONICS INC
2002,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,18,0,0,18,1691,1709,GENERAL ELECTRIC CO (GE CO)
2002,05762STNLY3950R,STANLEY TOOLS PITTSFIELD,3950 RTE 100,PITTSFIELD,RUTLAND,VT,05762,43.772818,-72.812987,Fabricated Metals,332212,Lead,7439-92-1,YES,Pounds,0,222,0,0,222,0,222,STANLEY WORKS
2002,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,4.6,0,0,4.6,0,4.6,ETHAN ALLEN OPERATIONS INC
2002,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,10.57,0,0,10.57,0,10.57,ETHAN ALLEN OPERATIONS INC
2003,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335931,Lead,7439-92-1,YES,Pounds,0,0.14,0,0,0.14,0,0.14,NA
2003,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2003,05257KRNPT441WA,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,BENNINGTON,VT,05257,42.923026,-73.245640,Electrical Equipment,335921,Lead compounds,N420,NO,Pounds,0,0,0,0,0,215,215,ADC TELECOMMUNICATIONS INC
2003,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,6,6,NA
2003,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,136,136,NA
2003,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,823,823,BELDEN CDT INC
2003,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead compounds,N420,NO,Pounds,0,0.53,9.74,0,10.27,6245.6,6255.87,GLOBALFOUNDRIES US INC
2003,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,2.83,0,0,2.83,1.29,4.12,SMURFIT WESTROCK U.S. HOLDING CO
2003,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Transportation Equipment,336413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,78.48,78.48,RAYTHEON TECHNOLOGIES CORP
2003,05641SFTYK23WSE,SAFETY-KLEEN SYSTEMS BARRE (BVT),23 W SECOND ST,BARRE,WASHINGTON,VT,05641,44.206320,-72.515923,Hazardous Waste,562112,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,CLEAN HARBORS INC
2003,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,12,0.32,0,0,18.02,2108,2126.02,GENERAL ELECTRIC CO (GE CO)
2003,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.27,1.11,0,0,1.38,135.42,136.8,NEXUS NANO ELECTRONICS INC
2003,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,18,0,0,18,511,529,GENERAL ELECTRIC CO (GE CO)
2003,05762STNLY3950R,STANLEY TOOLS PITTSFIELD,3950 RTE 100,PITTSFIELD,RUTLAND,VT,05762,43.772818,-72.812987,Fabricated Metals,332212,Lead,7439-92-1,YES,Pounds,0,88,0,0,88,0,88,STANLEY WORKS
2003,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.16,0,0,3.16,0,3.16,ETHAN ALLEN OPERATIONS INC
2003,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,11.63,0,0,11.63,0,11.63,ETHAN ALLEN OPERATIONS INC
2004,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0.18,0,0,0.18,0,0.18,NA
2004,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2004,05257KRNPT441WA,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,BENNINGTON,VT,05257,42.923026,-73.245640,Electrical Equipment,335921,Lead compounds,N420,NO,Pounds,0,0,0,0,0,188,188,ADC TELECOMMUNICATIONS INC
2004,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,3,3,NA
2004,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,104,104,NA
2004,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,874.8,874.8,BELDEN CDT INC
2004,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead compounds,N420,NO,Pounds,0,0.56,15.9,0,16.46,8199.6,8216.06,GLOBALFOUNDRIES US INC
2004,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,2.33,0,0,2.33,0.18,2.51,SMURFIT WESTROCK U.S. HOLDING CO
2004,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Transportation Equipment,336413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,58.08,58.08,RAYTHEON TECHNOLOGIES CORP
2004,05641SFTYK23WSE,SAFETY-KLEEN SYSTEMS BARRE (BVT),23 W SECOND ST,BARRE,WASHINGTON,VT,05641,44.206320,-72.515923,Hazardous Waste,562112,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,CLEAN HARBORS INC
2004,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,12,0,0,0,12,2615,2627,GENERAL ELECTRIC CO (GE CO)
2004,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.23,1.85,0,0,2.08,90.65,92.73,NEXUS NANO ELECTRONICS INC
2004,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,16,0,0,16,425,441,GENERAL ELECTRIC CO (GE CO)
2004,05762STNLY3950R,STANLEY TOOLS PITTSFIELD,3950 RTE 100,PITTSFIELD,RUTLAND,VT,05762,43.772818,-72.812987,Fabricated Metals,332212,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,STANLEY WORKS
2004,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,2.93,0,0,2.93,0,2.93,ETHAN ALLEN OPERATIONS INC
2004,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.66,0,0,3.66,0,3.66,ETHAN ALLEN OPERATIONS INC
2005,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0.12,0,0,0.12,0,0.12,NA
2005,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2005,05257KRNPT441WA,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,BENNINGTON,VT,05257,42.923026,-73.245640,Electrical Equipment,335921,Lead compounds,N420,NO,Pounds,0,0,0,0,0,45.9,45.9,ADC TELECOMMUNICATIONS INC
2005,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,2.25,2.25,NA
2005,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,106,106,NA
2005,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Primary Metals,331422,Lead compounds,N420,NO,Pounds,0,0,0,0,0,59.33,59.33,BELDEN CDT INC
2005,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0.49,22,0,22.49,1946.6,1969.09,GLOBALFOUNDRIES US INC
2005,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,2.59,0,0,2.59,2.2,4.79,SMURFIT WESTROCK U.S. HOLDING CO
2005,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Transportation Equipment,336413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,78.11,78.11,RAYTHEON TECHNOLOGIES CORP
2005,05641SFTYK23WSE,SAFETY-KLEEN SYSTEMS BARRE (BVT),23 W SECOND ST,BARRE,WASHINGTON,VT,05641,44.206320,-72.515923,Hazardous Waste,562112,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,CLEAN HARBORS INC
2005,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,12,0.3,0,0,12.3,3004,3016.3,GENERAL ELECTRIC CO (GE CO)
2005,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.25,1.11,0,0,1.36,121.18,122.54,NEXUS NANO ELECTRONICS INC
2005,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,16,0,0,16,1568,1584,GENERAL ELECTRIC CO (GE CO)
2005,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.2,0,0,3.2,0,3.2,ETHAN ALLEN OPERATIONS INC
2005,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,4.995,0,0,4.995,0,4.995,ETHAN ALLEN OPERATIONS INC
2005,05904GRGPCRIVER,DIRIGO PAPER CO/DALTON HYDRO LLC,35 RIVERSIDE AVE,GILMAN,ESSEX,VT,05904,44.411751,-71.721272,Paper,322121,Lead compounds,N420,NO,Pounds,0,26,7.8,0,33.8,0,33.8,NA
2006,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0.1,0,0,0.1,0,0.1,NA
2006,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2006,05257KRNPT441WA,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,BENNINGTON,VT,05257,42.923026,-73.245640,Electrical Equipment,335921,Lead compounds,N420,NO,Pounds,0,0,0,0,0,74,74,ADC TELECOMMUNICATIONS INC
2006,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,11,11,NA
2006,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,13,13,NA
2006,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,1.24,0,0,1.24,1.86,3.1,SMURFIT WESTROCK U.S. HOLDING CO
2006,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Transportation Equipment,336413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,104.03,104.03,RAYTHEON TECHNOLOGIES CORP
2006,05641SFTYK23WSE,SAFETY-KLEEN SYSTEMS BARRE (BVT),23 W SECOND ST,BARRE,WASHINGTON,VT,05641,44.206320,-72.515923,Hazardous Waste,562112,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,CLEAN HARBORS INC
2006,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,12,1,0,0,13,2401,2414,GENERAL ELECTRIC CO (GE CO)
2006,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.25,1.36,0,0,1.61,244.94,246.55,NEXUS NANO ELECTRONICS INC
2006,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,18,0,0,18,366,384,GENERAL ELECTRIC CO (GE CO)
2006,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.06,0,0,3.06,0,3.06,ETHAN ALLEN OPERATIONS INC
2006,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.7395,0,0,3.7395,0,3.7395,ETHAN ALLEN OPERATIONS INC
2006,05904GRGPCRIVER,DIRIGO PAPER CO/DALTON HYDRO LLC,35 RIVERSIDE AVE,GILMAN,ESSEX,VT,05904,44.411751,-71.721272,Paper,322121,Lead compounds,N420,NO,Pounds,0,26,7,0,33,0,33,NA
2007,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0.13,0,0,0.13,0,0.13,NA
2007,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2007,05257KRNPT441WA,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,BENNINGTON,VT,05257,42.923026,-73.245640,Electrical Equipment,335921,Lead compounds,N420,NO,Pounds,0,0,0,0,0,34,34,ADC TELECOMMUNICATIONS INC
2007,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,5,5,NA
2007,05401GLBLP2FLYN,GLOBAL PETROLEUM SERVICES (DBA VERMONT),2 FLYNN AVE,BURLINGTON,CHITTENDEN,VT,05401,44.456139,-73.224656,Petroleum Bulk Terminals,424710,Lead compounds,N420,NO,Pounds,0,0,0,0,0,3.06,3.06,GLOBAL COS LLC
2007,05403CPRCN6GREE,COOPER CONTROLS PCI LIGHTING,6 GREEN TREE DR,SOUTH BURLINGTON,CHITTENDEN,VT,05403,44.456528,-73.139938,Electrical Equipment,335314,Lead compounds,N420,NO,Pounds,0.04,4,0,0,320.04,0,320.04,COOPER US INC
2007,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,3,3,NA
2007,05446SRMYC789VE,U.S. ARMY NATIONAL GUARD CAMP JOHNSON (RANGE),789 VERMONT NATIONAL GUARD RD,COLCHESTER,CHITTENDEN,VT,05446,44.501084,-73.162541,Other,928110,Lead,7439-92-1,YES,Pounds,0,0,0,0,112,0,112,US DEPARTMENT OF DEFENSE
2007,05465SRMYTETHAN,U.S. ARMY NATIONAL GUARD ETHAN ALLEN FIRING RANGE,ETHAN ALLEN FIRING RANGE,JERICHO,CHITTENDEN,VT,05465,44.480478,-72.967643,Other,928110,Lead,7439-92-1,YES,Pounds,0,0,0,0,6638,0,6638,US DEPARTMENT OF DEFENSE
2007,05478VRDYB75SWA,ENERGIZER BATTERY MANUFACTURING INC,75 SWANTON RD,SAINT ALBANS,FRANKLIN,VT,05478,44.829890,-73.079730,Electrical Equipment,335912,Lead compounds,N420,NO,Pounds,0,0,0,0,0,3.1356,3.1356,ENERGIZER HOLDINGS INC
2007,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,0.78,0,0,0.78,2.75,3.53,SMURFIT WESTROCK U.S. HOLDING CO
2007,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Transportation Equipment,336413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,107,107,RAYTHEON TECHNOLOGIES CORP
2007,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,12,0.1,0,0,12.1,2191,2203.1,GENERAL ELECTRIC CO (GE CO)
2007,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,16,0,0,16,243.58,259.58,GENERAL ELECTRIC CO (GE CO)
2007,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.49,0,0,3.49,0,3.49,ETHAN ALLEN OPERATIONS INC
2007,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,3.862,0,0,3.862,0,3.862,ETHAN ALLEN OPERATIONS INC
2008,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0.13,0,0,0.13,0,0.13,NA
2008,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2008,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,5,5,NA
